,0
2319,89
2320,68
2321,89
2322,363
2323,89
2324,24
2325,89
2326,1349
2327,89
2328,170
2329,89
2330,920
2331,88
2332,5259
2333,88
2334,202
2335,88
2336,1
2337,88
2338,25
2339,88
2340,114
2341,88
2342,162
2343,88
2344,2841
2345,88
2346,189
2347,88
2348,77
2349,88
2350,48
2351,88
2352,205
2353,88
2354,46
2355,88
2356,68
2357,88
2358,65
2359,88
2360,51
2361,88
2362,16
2363,87
2364,40
2365,87
2366,69
2367,87
2368,86
2369,87
2370,101
2371,87
2372,140
2373,87
2374,406
2375,87
2376,95
2377,87
2378,189
2379,87
2380,62
2381,87
2382,10
2383,87
2384,41
2385,87
2386,20
2387,86
2388,159
2389,86
2390,24
2391,86
2392,93
2393,86
2394,122
2395,86
2396,4482
2397,86
2398,707
2399,86
2400,23
2401,86
2402,25
2403,86
2404,67
2405,86
2406,68
2407,86
2408,78
2409,86
2410,61
2411,86
2412,515
2413,85
2414,521
2415,85
2416,30
2417,85
2418,226
2419,85
2420,339
2421,85
2422,75
2423,85
2424,40
2425,85
2426,6
2427,85
2428,62
2429,85
2430,9
2431,85
2432,43
2433,85
2434,12
2435,85
2436,456
2437,84
2438,156
2439,84
2440,48
2441,84
2442,50
2443,84
2444,64
2445,84
2446,384
2447,84
2448,52
2449,84
2450,103
2451,84
2452,547
2453,84
2454,46
2455,84
2456,163
2457,84
2458,47
2459,84
2460,42
2461,84
2462,22
2463,84
2464,29
2465,84
2466,92
2467,83
2468,33
2469,83
2470,205
2471,83
2472,1123
2473,83
2474,48
2475,83
2476,30
2477,83
2478,54
2479,83
2480,61
2481,83
2482,39
2483,83
2484,22
2485,83
2486,99
2487,83
2488,42
2489,83
2490,41
2491,83
2492,287
2493,83
2494,146
2495,82
2496,93
2497,82
2498,68
2499,82
2500,32
2501,82
2502,46
2503,82
2504,53
2505,82
2506,3901
2507,82
2508,68
2509,82
2510,14
2511,82
2512,103
2513,82
2514,18
2515,82
2516,842
2517,82
2518,69
2519,82
2520,56
2521,82
2522,362
2523,82
2524,62
2525,82
2526,4
2527,81
2528,1374
2529,81
2530,117
2531,81
2532,173
2533,81
2534,361
2535,81
2536,128
2537,81
2538,417
2539,81
2540,101
2541,81
2542,20
2543,81
2544,75
2545,81
2546,36
2547,81
2548,55
2549,81
2550,194
2551,80
2552,851
2553,80
2554,120
2555,80
2556,541
2557,80
2558,41
2559,80
2560,59
2561,80
2562,14
2563,80
2564,149
